Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,,,,,,,,,,,,,,,,,,
Pauvre Pierrot,1892,TV-PG,28 Oct 1892,4 min,"Animation, Comedy, Short",Émile Reynaud,N/A,N/A,"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYWZiY2U3MjgtMzYzNS00OGUzLWI3OTQtNjkyMmZiZjEzNDc2XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg,N/A,6.5,"1,934",tt0000003,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Horse Trick Riders,1895,N/A,01 Jul 1896,1 min,"Documentary, Short, Comedy",Louis Lumière,N/A,N/A,"In the background is a house. In the foreground, a groom holds the reins of a sleek black horse that stands in profile. A tall man, dressed in a black uniform, demonstrates how to mount the horse then encourages and tries to assist a man in white. The man in white keeps falling, and soon it's apparent that he's an putting on a show. His pratfalls become more elaborate and stylish. The horse stands patient. The little groom laughs to see such sport. And finally, the man in white finds a comic accommodation. The story, though brief, has a beginning, middle, and end.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTc0OTQ4NzgtZDE3Mi00M2IzLWE0MjMtMjg0MTM1NzU1OGY1XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,N/A,5.5,"1,052",tt0000033,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Opening of the Kiel Canal,1895,N/A,19 Jun 1895,N/A,"Short, News",Birt Acres,N/A,"Empress Augusta Victoria, Kaiser Wilhelm II","One person rows the rowboat in the middle distance, while two people sit at either end. A man walks by with a lunchbox.The credits say this is the Kaiser and the .... Kaserin? The Empress of Germany I guess you would say, although which is which among these four people, I cannot say. I've described this 14-second short, and that's all there is. Really.Early movies are full of stuff like this: short films in which we are supposed to know who these people are. People knew who the Kaiser was back in 1895, or pretended to, but if they substituted some other guy in the rowboat, who would know? A dozen years later, Melies would release movies showing the coronation of the King of England a week before it happened, and no one said boo.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNWNhYTg2M2EtYjQ2Ni00ZGEzLTkxNTctZDBkNWZjMDA5YTEzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,N/A,4.2,122,tt0000024,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Boat Leaving the Port,1895,N/A,N/A,1 min,"Documentary, Short",Louis Lumière,N/A,"Mrs. Auguste Lumiere, Jeanne-Joséphine Lumière","A rowboat with three men is leaving a little harbor. Two of them are rowing the boat, while the third is sitting in the stern. All of them wear hats. They are passing the outer end of a pier, where two women in long, black gowns and aprons are standing together with two little girls. It's windy and the waves are quite high. When the boat passes the pier, a big wave appears, that almost throws the boat back into the harbor.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BOTU5YzI1MWEtMmZmZS00N2U2LThiODktODM1NDQwZTZkNDE1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,5.9,"1,547",tt0000016,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Arrivée d'un train gare de Vincennes,1896,N/A,N/A,1 min,"Documentary, Short",Georges Méliès,N/A,N/A,This lost film presumably features a train arriving at Vincennes station.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMmY0MThkYmItNjE4Yy00MjdmLTlkZmQtY2VlNDljMmE5ZDY4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,5.0,225,tt0000034,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Blacksmith Scene,1895,N/A,28 Jun 1896,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"Two blacksmiths are at work, facing the camera, a wall, window, and stacked boxes behind them. Both are mustachioed with dark hair. On our right, a smith in the dark clothes of a laborer continuously turns the handle of the bellows, keeping hot a small furnace in front of him. On our left, in white shirt and tie, the lead smith pounds a three-foot length of metal on an anvil and then plunges the shaft into a tub of water at his feet. He takes a metal rod and scrapes it across the shaft. Next, from our left, a man enters with refreshments. Work pauses.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNTU3ZjQ4ZmUtNDlmOC00YWM1LTg0MDUtMTBkOGYwMGYwZjdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,5.1,"1,139",tt0000022,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Akrobatisches Potpourri,1895,N/A,01 Nov 1895,1 min,"Documentary, Short",Max Skladanowsky,N/A,Grunato,Eight circus performers known as the Grunato family perform their famous balancing act.,None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNDhhMDVhMjUtYjA3MS00NjVhLWI3MTYtZjM5NjMyNDdjNjI0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,N/A,5.2,377,tt0000011,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Blacksmith Scene,1893,Unrated,09 May 1893,1 min,"Short, Comedy",William K.L. Dickson,N/A,"Charles Kayser, John Ott","A stationary camera looks at a large anvil with a blacksmith behind it and one on either side. The smith in the middle draws a heated metal rod from the fire, places it on the anvil, and all three begin a rhythmic hammering. After several blows, the metal goes back in the fire. One smith pulls out a bottle of beer, and they each take a swig. Then, out comes the glowing metal and the hammering resumes.",None,United States,1 win,https://m.media-amazon.com/images/M/MV5BNDg0ZDg0YWYtYzMwYi00ZjVlLWI5YzUtNzBkNjlhZWM5ODk5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,N/A,6.2,"2,685",tt0000005,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Autour d'une cabine,1894,N/A,15 Dec 1894,2 min,"Animation, Short",Émile Reynaud,N/A,N/A,Pre-cinematograph colour animation of a woman and man at the beach.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMGFjNWM4N2ItM2QyNy00YWRmLTgzMzItMjc0N2RjMjdlODdhXkEyXkFqcGdeQXVyMzQ5MjE2ODI@._V1_SX300.jpg,N/A,6.2,"1,129",tt0000015,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Le clown et ses chiens,1892,N/A,16 Nov 1892,5 min,"Animation, Short",Émile Reynaud,N/A,N/A,"Lost short film consisting of 300 painted images. It shows a clown entering a circus ring and greeting the audience before he starts to perform tricks with three dogs. The dogs jump through hoops, walk on a ball and jump over a wand.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BZDI4ZDgwMWQtMjA3ZS00NmU5LTk5MGQtZTMyMGFlMjYyZmFlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,N/A,6.0,270,tt0000002,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Das boxende Känguruh,1895,N/A,01 Nov 1895,1 min,Short,Max Skladanowsky,N/A,Delaware,"A man and a kangaroo stand up in front of each other with boxing gloves, and simulate a boxing match on a theatre stage.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMGI3NDY2NmUtZmYwNi00OThhLWFhZWUtNmNiMTU3NzJmYmVkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,5.3,610,tt0000018,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Watering the Flowers,1896,N/A,N/A,1 min,"Short, Comedy",Georges Méliès,N/A,N/A,"This lost film presumably features a person watering flowers to comedic effect. This film is believed to have imitated the Louis and Auguste Lumière film ""L'arroseur arrose"", which survives.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYWY1Mjc5YjktZWM3NC00NzM4LWI4MjctZGVjYjUyYjA0ZTU4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,5.5,84,tt0000035,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Rough Sea at Dover,1895,Not Rated,14 Jan 1896,1 min,"Documentary, Short","Birt Acres, Robert W. Paul",N/A,N/A,"The surf pounds against a breakwater on which are visible several people standing. The wall looks to be about 20 feet above sea level and extend at least 100 feet into the water. A large wave rolls picturesquely along the wall toward the shore. Smaller waves follow. Then the scene changes to river water flowing. We see both shores: in the foreground a log and tree branch are visible; on the far shore, there appears to be a low wall with trees beyond it. The camera is stationary in both shots.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOWFhNTM4MmYtMTBjZi00MWMyLWEyMjYtNjAwODcyM2U2NzM1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,N/A,5.2,869,tt0000030,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Corbett and Courtney Before the Kinetograph,1894,Not Rated,17 Nov 1894,1 min,"Short, Sport","William K.L. Dickson, William Heise",N/A,"James J. Corbett, Peter Courtney","James J. Corbett and Peter Courtney meet in a boxing exhibition, with special conditions that will allow the Thomas Edison Company to film the match and show it on their Kinetograph. The match consists of six one-minute rounds. The popular James J. Corbett had earlier defeated the great John L. Sullivan and must be considered a heavy favourite. But, at least for a while, Peter Courtney seems to be holding his own.",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BODA4ZTI3NWYtNzAyYi00Yjc5LTk0NDUtZWIzNzQzYzdkODgyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,N/A,5.4,821,tt0000007,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Baby's Meal,1895,N/A,01 Jul 1896,1 min,"Documentary, Short",Louis Lumière,N/A,"Auguste Lumière, Mrs. Auguste Lumiere, Andrée Lumière","A baby is seated at a table between its cheerful parents, Auguste and Marguerite Lumière. While the father is feeding the baby with a spoon, the mother is pouring coffee into her cup. The father gives the baby a biscuit, which the baby grabs, but doesn't eat, although both parents encourage it. The father resumes feeding the baby with the spoon.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BM2Q0ZDhkM2EtODFlOC00NzRiLWJhMmYtMmI0ZWQ0ZTdmMzBmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,5.9,"3,505",tt0000029,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Ball Game,1898,N/A,20 May 1898,N/A,"Documentary, Short, Sport",William Heise,N/A,"Scoops Carey, Zane Grey, Scott Stratton","""The Reading's [Pennsylvania] pitcher has just let a Newark [New Jersey] batsman walk to first. Our camera is stationed about twenty feet from the bag, and the satisfied grin of the runner is great as he touches first and gets up on his toes for second. Next man cracks first ball pitched for a two-bagger, and races for the base with a wonderful burst of speed. First baseman just misses a put out. Very exciting. Man on the coaching line yells, and umpire runs up and makes decision. Small boy runs past back of the catcher close to the grand stand, where there is great commotion. A most excellent subject, treated brilliantly.""",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU1Y2QxMWMtOGE2Ny00MWE5LWI2YTctOWU2MTQxNThhMzUzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,4.2,206,tt0000038,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Clown Barber,1898,N/A,01 Aug 1898,N/A,"Short, Comedy",James Williamson,N/A,N/A,Clown cuts off customer's head and replaces it.,None,United Kingdom,N/A,N/A,N/A,5.3,32,tt0000019,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Waterer Watered,1895,Not Rated,N/A,1 min,"Short, Comedy",Louis Lumière,N/A,"François Clerc, Benoît Duval","A gardener is watering his flowers, when a mischievous boy sneaks up behind his back, and puts a foot on the water hose. The gardener is surprised, and looks into the nozzle to find out why the water has stopped coming. The boy lifts his foot from the hose, whereby the water squirts up in the gardener's face. The gardener chases the boy, grips his ear, and slaps him in his buttocks. The boy runs away, and the gardener continues his watering.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNGNjMDkzNDAtOGI1NS00MGIyLWFkZjgtYWNkYzhlZWYwMmIzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,N/A,7.1,"5,841",tt0000014,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Edison Kinetoscopic Record of a Sneeze,1894,N/A,09 Jan 1894,1 min,"Documentary, Short",William K.L. Dickson,N/A,Fred Ott,A man (Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Edison films and was the first motion picture to be copyrighted in the United States.,None,United States,1 win,https://m.media-amazon.com/images/M/MV5BNGQ5MjZjYzgtYjJhMC00NDIzLTk0NjgtNmRjZDc1ZGM5MmM5XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg,N/A,5.4,"2,143",tt0000008,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Jumping the Blanket,1895,N/A,01 Jul 1896,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"Outdoors, with a nondescript building in the background, four men stand, each holding the corner of a blanket stretched parallel to the ground. They wear the clothes of laborers. By the back corner on our left stands a uniformed man who seems in charge. A sixth man stands back from the blanket about six paces; he runs forward and takes a leap but stops at the edge of the blanket and is upbraided by the uniformed gent. The same thing happens a second time, but the next three times, he completes a flip, landing on his back in the middle of the blanket, and the four then boost him out toward the camera. The final time seems like it will be his last for awhile.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNmY3YTM2MTQtNWY5MC00MzQxLWJiMDctNWYzYTI5N2Y1OGEzXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,N/A,5.5,"1,030",tt0000031,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Chinese Opium Den,1894,N/A,17 Oct 1894,1 min,Short,William K.L. Dickson,N/A,N/A,N/A,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZjNlZTI1NjYtNjVkZi00MDBlLThjMDQtY2Q2NDZiZjllYmE3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,5.3,183,tt0000006,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Photographical Congress Arrives in Lyon,1895,Not Rated,12 Jun 1895,1 min,"Documentary, Short",Louis Lumière,N/A,"Auguste Lumière, P.J.C. Janssen",Members of the French Photographic Society arrive from a riverboat to their congress venue in Neuville-sur-Saône on a summer day. They go ashore across a wooden landing stage. Among the many men in straw hats are also a few women in long skirts. Some of the men lift their hats toward the photographer when passing. Many of them are carrying their own cameras.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYmU0ZGY2MWYtY2FiZi00MjM5LTkwMzQtMzBiM2Q3YjQ1YjQ2XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,N/A,5.7,"1,932",tt0000013,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Derby 1895,1895,N/A,20 Nov 1895,1 min,"Documentary, Short, Sport",Birt Acres,N/A,N/A,"A stationary camera, looking diagonally across a racetrack toward the infield, records the horses as they race past. Once they are out of view and the race is over, police officers run onto the infield. The crowd moves around.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BODBkMmI0NDMtM2Y0Zi00YTU1LWJiODktZTJlYTkxNjA5ZWU0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,N/A,4.8,368,tt0000020,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Miss Jerry,1894,N/A,09 Oct 1894,45 min,Romance,Alexander Black,Alexander Black,"Blanche Bayliss, William Courtenay, Chauncey Depew","Geraldine (Jerry) Holbrook, a girl of Eastern birth, decides to start a career in journalism in the heart of New York, after she feels that her father is close to a financial crush. In the process she falls in love with the editor of her paper, Mr. Hamilton. After the first successful article, she leads Hamilton into doubting her love for him, and this makes him accept a job in London. But his worries prove wrong when Jerry accepts to marry him and leave to London.",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTUwNzM4NWYtMDkwOC00ZmQwLTk1OGQtNjAwMmU2MjI3Y2QxXkEyXkFqcGdeQXVyNzQ1NDIxMDQ@._V1_SX300.jpg,N/A,5.9,208,tt0000009,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Awakening of Rip,1896,Not Rated,01 Sep 1896,1 min,"Drama, Short",William K.L. Dickson,Washington Irving,Joseph Jefferson,A series of short black-and-white films from director William K.L. Dickson that chronicle the adventures of Rip Van Winkle.,None,United States,1 win,https://m.media-amazon.com/images/M/MV5BZWM1OGIxYzYtMzI1ZC00NDZmLWEzNmMtOTc2Y2JjNTQ0NDAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,4.4,611,tt0000036,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Boulevard des Italiens,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTU4MDhhNDAtNDNhOS00ZjRiLTk4OTQtOWQwNTkwN2I2MGNlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,3.6,35,tt0000047,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Oxford and Cambridge University Boat Race,1896,N/A,14 Jan 1896,N/A,"Short, News, Sport",Birt Acres,N/A,N/A,"Although the content of this film is primitive in the extreme - a shot of the traditional Oxford versus Cambridge University Boat Race, filmed on March 30 1895 - this film is of immense historical importance as being the first ever British film",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOGFiZjVkYmYtYjkwZC00NWY0LWI0MGItYWYyNzNlMDNlN2Y2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,4.2,45,tt0000025,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Barque sortant du port de Trouville,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZTA1MTFhMTYtMmE3Mi00ZjQzLTkxOGQtNTEzZTk4NDZkOTIzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,4.3,71,tt0000040,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Bataille de neige,1897,N/A,07 Feb 1897,1 min,"Documentary, Short, Comedy",Louis Lumière,N/A,N/A,"Wintertime in Lyon. About a dozen people, men and women, are having a snowball fight in the middle of a tree-lined street. The cyclist coming along the road becomes the target of opportunity. He falls off his bicycle. He's not hurt, but he rides back the way he came, as the fight continues. Uh-oh. He forgot his cap in the snow.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BN2FiMDZmNTUtNGMxMC00ZDQ2LTg5YjktMGNkNDA2NGIzOWFlXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,N/A,6.7,"1,924",tt0000041,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Le bivouac,1896,N/A,N/A,1 min,Short,Georges Méliès,N/A,N/A,"This lost film, among the earliest by Georges Méliès, presumably featured the use of a bivouac sack for a soldier encampment.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BZjViODAyMjktNTRkOC00NDk1LTllZWUtOWM4ZjY3ZDBhODNkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,4.4,48,tt0000044,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
